id,name,organizer,field,required_skills,eligibility,prize,deadline
1,K-데이터 활용 공모전,한국데이터산업진흥원,데이터 분석,"Python, 데이터 시각화, SQL","대학(원)생","최우수상 300만원, 우수상 150만원, 장려상 50만원",2026-09-30
2,제4회 AI 혁신 해커톤,과학기술정보통신부,AI/ML,"머신러닝, Python, 딥러닝","대학생·대학원생","대상 500만원, 최우수상 300만원, 우수상 100만원",2026-08-31
3,2026 빅데이터 분석 경진대회,통계청,빅데이터,"R, Python, 통계분석","대학(원)생·일반인","대상 200만원, 우수상 100만원, 장려상 50만원",2026-09-15
4,스마트시티 데이터 공모전,국토교통부,공공데이터·스마트시티,"python, 공간데이터, GIS","대학생","최우수상 400만원, 우수상 200만원",2026-10-15
5,글로벌 핀테크 아이디어 공모전,금융위원회,핀테크·금융혁신,,"대학(원)생·직장인","최우수상 1000만원, 우수상 500만원, 장려상 200만원",2026-09-20
6,사회문제 해결 AI 챌린지,SK텔레콤,AI 서비스,"Python, 서비스 기획, 데이터분석","대학생","대상 300만원, 우수상 150만원, 장려상 50만원",2026-08-20
7,청년 창업 아이디어 경진대회,중소벤처기업부,창업·비즈니스 모델,"사업계획서 작성, 발표","대학생·청년(만 39세 이하)","대상 1000만원, 최우수상 500만원",2026-11-30
8,환경 데이터 분석 공모전,환경부,환경·데이터사이언스,"Python, SQL, 환경 도메인","대학(원)생",,2026-09-30
9,헬스케어 AI 공모전,보건복지부,의료·AI,"Python, 머신러닝, 의료 데이터","대학(원)생·의료인","최우수상 500만원, 우수상 200만원",2026-10-01
10,금융 데이터 분석 공모전,한국거래소,금융·데이터,"Python, 금융공학, SQL","대학생","최우수상 300만원, 우수상 150만원, 장려상 50만원",2026-09-15
11,2026 빅데이터 분석 경진대회,통계청,빅데이터,"R, Python, 통계분석","대학(원)생·일반인","대상 200만원, 우수상 100만원, 장려상 50만원",2026-09-15
12,스마트 모빌리티 해커톤,현대자동차재단,모빌리티·데이터,"Python, 데이터 분석, IoT","대학생","대상 200만원, 우수상 100만원",2026-10-31
